beneficiary_id,village_id,village_name,gp_id,block_id,district,state,first_name,last_name,father_husband_name,gender,age,tribal_community,family_size,annual_income,education_level,occupation,aadhaar_number,mobile_number,bank_account,ifsc_code,created_date,updated_date
FRA_00000043,VIL_000003,चंबा,GP_000001,BLK_000001,Mandla,Madhya Pradesh,मनीश,ताम्बे,सवितृ,Male,33,Bhil,5,73471,Primary,Animal_Husbandry,6730-6640-3679,+91-8110935906,BANK_201742838358,SBIN0047364,2022-02-01,2025-06-16
FRA_00000044,VIL_000003,चंबा,GP_000001,BLK_000001,Mandla,Madhya Pradesh,शर्म,खान,प्रसन्न,Male,42,Gond,3,43091,Primary,Forest_Produce,4387-5408-7709,+91-9204526134,BANK_850621009278,SBIN0011166,2021-09-19,2024-11-19
FRA_00000045,VIL_000003,चंबा,GP_000001,BLK_000001,Mandla,Madhya Pradesh,दमयंती,चौहान,जयेन्द्र,Female,26,Baiga,6,16109,Primary,Daily_Labor,6004-5511-7943,+91-8616949739,BANK_485909624105,SBIN0070161,2021-01-24,2025-06-14
FRA_00000046,VIL_000003,चंबा,GP_000001,BLK_000001,Mandla,Madhya Pradesh,पार्वती,चोपरा,ज्योतिष,Female,31,Kol,4,83241,Graduate,Animal_Husbandry,2676-1120-9380,+91-9844794993,BANK_511626995977,SBIN0083591,2024-03-18,2025-02-21
FRA_00000047,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,सारिका,गुप्ता,गोतम,Female,37,Gond,5,23367,Middle,Daily_Labor,6327-5536-5278,+91-9818012241,BANK_816797287397,SBIN0049163,2021-04-06,2025-04-21
FRA_00000048,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,गुलज़ार,भट,दामोदर,Male,27,Bharia,8,46496,Illiterate,Animal_Husbandry,6236-3292-1417,+91-9814924004,BANK_384737453791,SBIN0064862,2021-07-07,2025-02-20
FRA_00000049,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,लीना,द्विवेदी,सुनील,Female,42,Gond,6,39892,Middle,Forest_Produce,9759-8794-6873,+91-9178900724,BANK_299966152730,SBIN0048506,2024-10-25,2024-11-20
FRA_00000050,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,ज्योतिष,मल्होत्रा,आकाङ्क्षा,Male,48,Baiga,7,48902,Graduate,Forest_Produce,6499-2463-4641,+91-8525930586,BANK_917002972378,SBIN0050250,2024-07-06,2025-04-25
FRA_00000051,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,इन्द्रजित,पवार,जयदेव,Female,68,Bhil,4,49152,Graduate,Daily_Labor,8598-2929-8709,+91-7230540762,BANK_799505833148,SBIN0086490,2020-09-27,2025-07-27
FRA_00000052,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,अमित,त्रिवेदी,रावण,Male,48,Baiga,6,30704,Secondary,Daily_Labor,7768-1885-3470,+91-7589979266,BANK_323305433678,SBIN0054914,2023-01-30,2025-07-15
FRA_00000053,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,विमला,सरकार,कपिल,Female,54,Kol,3,56469,Primary,Agriculture,8988-6449-3897,+91-8346103176,BANK_162854694491,SBIN0010617,2025-07-28,2025-07-18
FRA_00000054,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,बल,झादव,कैलाश,Female,35,Baiga,8,37099,Graduate,Forest_Produce,9021-2442-3120,+91-9639170397,BANK_797647478287,SBIN0066283,2025-09-15,2024-11-01
FRA_00000055,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,शान्ती,मुख़र्जी,ब्रह्मा,Female,45,Kol,5,15611,Illiterate,Forest_Produce,7112-1230-6279,+91-9280772748,BANK_117998389950,SBIN0098702,2021-01-29,2025-06-03
FRA_00000056,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,कर्ण,शर्मा,नंद,Male,58,Baiga,3,60134,Middle,Forest_Produce,2682-7284-9246,+91-9528321354,BANK_281703380754,SBIN0018557,2024-06-29,2025-05-23
FRA_00000057,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,चण्ड,नायर,देवदास,Male,37,Bhil,5,83195,Graduate,Daily_Labor,8105-3192-6615,+91-9105301413,BANK_926176691617,SBIN0034697,2023-01-11,2025-08-12
FRA_00000058,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,राम,शुक्ला,प्रकाश,Male,69,Kol,2,44939,Primary,Forest_Produce,4460-1359-9267,+91-7725783958,BANK_499960935218,SBIN0095267,2023-10-06,2025-03-19
FRA_00000059,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,धनञ्जय,गुप्ता,प्रकाश,Male,42,Bhil,8,21368,Graduate,Agriculture,2771-1323-1790,+91-9962452613,BANK_555763846910,SBIN0068237,2020-11-18,2025-05-12
FRA_00000060,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,लीला,गावडे,सेठ,Female,25,Bharia,4,77180,Primary,Forest_Produce,1152-5933-7895,+91-9841827734,BANK_826283178165,SBIN0078197,2024-08-09,2025-07-29
FRA_00000061,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,नित्य,चोपरा,प्रबोध,Female,57,Bharia,7,32978,Secondary,Agriculture,9381-2928-5631,+91-7489680170,BANK_219334635833,SBIN0075239,2023-10-06,2025-08-16
FRA_00000062,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,विजया,तिवारी,मञ्जुनाथ,Male,56,Baiga,8,49471,Graduate,Forest_Produce,6864-7713-5839,+91-7688799369,BANK_701464667672,SBIN0075058,2024-05-10,2025-09-23
FRA_00000063,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,दिलीप,शुक्ला,शेष,Male,62,Kol,4,45737,Illiterate,Agriculture,2458-2809-9095,+91-7640570713,BANK_202862087422,SBIN0077070,2021-08-17,2024-12-08
FRA_00000064,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,गौतम,अरोरा,प्रदीप,Male,64,Gond,4,45298,Secondary,Daily_Labor,5327-8606-1820,+91-7428676004,BANK_292471135737,SBIN0015170,2023-08-05,2025-04-08
FRA_00000065,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,दिव्या,सरकार,अकबर,Female,41,Bhil,5,30191,Illiterate,Agriculture,1158-3267-3793,+91-8411587518,BANK_394728417020,SBIN0022183,2021-03-22,2024-10-10
FRA_00000066,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,माला,मजूमदार,इला,Female,70,Bhil,3,29920,Secondary,Animal_Husbandry,8479-5453-7319,+91-9963108379,BANK_627639616729,SBIN0065278,2024-04-13,2025-03-22
FRA_00000067,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,सुमन,आचार्य,शर्म,Male,25,Baiga,7,22686,Primary,Agriculture,7816-8908-8178,+91-7778508164,BANK_519237440678,SBIN0057002,2021-05-22,2025-07-25
FRA_00000068,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,जितेन्द्र,चतुर्वेदी,जगजीत,Male,73,Baiga,5,78979,Illiterate,Animal_Husbandry,8220-1753-2037,+91-8123618706,BANK_446410473740,SBIN0011620,2023-06-26,2025-04-17
FRA_00000069,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,संदीप,वर्मा,रञ्जित,Male,60,Bhil,6,83564,Graduate,Agriculture,8091-5072-8895,+91-8484982750,BANK_845879957720,SBIN0094070,2024-03-08,2025-09-03
FRA_00000070,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,नेहा,हजारिका,रत्नम,Female,27,Bharia,6,22152,Illiterate,Forest_Produce,9283-8688-9123,+91-7710404224,BANK_924955264600,SBIN0074441,2024-03-11,2025-09-09
FRA_00000071,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,कल्पना,सक्सेना,रामचन्द्र,Female,33,Bhil,4,21599,Graduate,Forest_Produce,7203-7607-4850,+91-7338574832,BANK_587303100704,SBIN0085108,2023-10-06,2025-09-05
FRA_00000072,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,दिव्या,सिन्हा,पीताम्बर,Female,23,Kol,5,56426,Illiterate,Animal_Husbandry,1291-2681-7609,+91-8770980600,BANK_710039252993,SBIN0081971,2023-01-08,2024-10-10
FRA_00000073,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,शंकर,महरा,रामचन्द्र,Male,70,Gond,8,54924,Graduate,Forest_Produce,8474-6584-6953,+91-7233110260,BANK_348320357596,SBIN0069566,2023-07-11,2024-09-30
FRA_00000074,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,अणिमा,शाह,अशोक,Female,53,Bharia,6,77014,Middle,Animal_Husbandry,2868-2596-4633,+91-7009435833,BANK_488013174302,SBIN0093055,2022-09-08,2025-09-10
FRA_00000075,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,निशा,रॉय,प्रणव,Female,53,Bharia,4,28935,Illiterate,Forest_Produce,9067-3301-7704,+91-7459396179,BANK_771107062439,SBIN0035679,2025-07-21,2025-04-27
FRA_00000076,VIL_000004,रानीताल,GP_000002,BLK_000001,Mandla,Madhya Pradesh,अंकुर,कदम,मणीन्द्र,Male,25,Kol,3,74905,Primary,Daily_Labor,2765-7790-1761,+91-9719747078,BANK_842331265000,SBIN0087176,2024-02-26,2024-10-16
FRA_00000077,VIL_000005,करना,GP_000002,BLK_000001,Mandla,Madhya Pradesh,शान्ती,थापा,सुमन,Female,47,Bharia,6,32647,Secondary,Agriculture,9689-1795-8091,+91-9513074317,BANK_956881765075,SBIN0033226,2022-01-13,2025-07-02
FRA_00000078,VIL_000005,करना,GP_000002,BLK_000001,Mandla,Madhya Pradesh,अमृत,मिश्रा,विवेक,Male,64,Baiga,2,65778,Graduate,Daily_Labor,9259-7302-7859,+91-9615607979,BANK_864143015905,SBIN0042537,2023-10-25,2024-12-07
FRA_00000079,VIL_000005,करना,GP_000002,BLK_000001,Mandla,Madhya Pradesh,सुलभा,झादव,विपुल,Female,43,Bhil,4,74355,Primary,Forest_Produce,7762-9393-5897,+91-9352808730,BANK_447294094445,SBIN0082559,2021-03-30,2025-05-01
FRA_00000080,VIL_000005,करना,GP_000002,BLK_000001,Mandla,Madhya Pradesh,सुरेन्द्र,नाथ,रावण,Male,30,Baiga,6,53086,Middle,Forest_Produce,3913-9255-9888,+91-9982047218,BANK_454922686040,SBIN0025126,2021-04-22,2024-10-04
FRA_00000081,VIL_000005,करना,GP_000002,BLK_000001,Mandla,Madhya Pradesh,पद्मावती,मजूमदार,सतीश,Female,53,Kol,6,69719,Graduate,Daily_Labor,7920-1209-9564,+91-7457287198,BANK_516720370740,SBIN0029048,2025-04-03,2025-03-01
FRA_00000082,VIL_000005,करना,GP_000002,BLK_000001,Mandla,Madhya Pradesh,ख़ान,चक्रवर्ती,अरविन्द,Male,60,Gond,3,49993,Primary,Daily_Labor,5105-3399-2016,+91-9966082283,BANK_425491336594,SBIN0036738,2023-11-12,2024-12-11
FRA_00000083,VIL_000005,करना,GP_000002,BLK_000001,Mandla,Madhya Pradesh,अमित,मंडल,अंकुर,Male,40,Kol,2,44400,Graduate,Animal_Husbandry,4892-9370-5712,+91-9976137781,BANK_154393585699,SBIN0060014,2025-02-08,2025-04-28
FRA_00000084,VIL_000005,करना,GP_000002,BLK_000001,Mandla,Madhya Pradesh,दमयंती,पिल्लई,गोविंदा,Female,44,Bhil,6,22051,Illiterate,Daily_Labor,4327-8259-4695,+91-9722100861,BANK_880415439380,SBIN0094886,2024-11-09,2025-06-14
FRA_00000085,VIL_000005,करना,GP_000002,BLK_000001,Mandla,Madhya Pradesh,माया,शाह,कैलाश,Female,66,Bharia,6,40751,Primary,Daily_Labor,8353-3906-2220,+91-7803058282,BANK_293112360736,SBIN0077350,2022-07-28,2025-04-03
FRA_00000086,VIL_000005,करना,GP_000002,BLK_000001,Mandla,Madhya Pradesh,कमल,त्रिवेदी,रोहन,Male,42,Gond,5,51583,Graduate,Daily_Labor,3131-3636-5178,+91-7024245671,BANK_612520864588,SBIN0030290,2024-12-06,2025-01-13
FRA_00000087,VIL_000005,करना,GP_000002,BLK_000001,Mandla,Madhya Pradesh,सरल,बनर्जी,िनशा,Male,27,Bhil,6,21665,Graduate,Daily_Labor,9037-6866-2194,+91-8365194028,BANK_342774723210,SBIN0034100,2023-06-08,2025-05-26
FRA_00000088,VIL_000005,करना,GP_000002,BLK_000001,Mandla,Madhya Pradesh,अनिश,कौल,शेखर,Male,68,Bharia,3,69516,Graduate,Animal_Husbandry,2506-6724-4624,+91-7916347640,BANK_463626252764,SBIN0053393,2022-09-19,2025-06-17
FRA_00000089,VIL_000005,करना,GP_000002,BLK_000001,Mandla,Madhya Pradesh,रश्मी,टंडन,माधव,Female,36,Baiga,8,84533,Secondary,Agriculture,2879-6668-8301,+91-8032286260,BANK_808259419260,SBIN0090439,2022-11-13,2025-04-07
FRA_00000090,VIL_000006,अहमदनगर,GP_000002,BLK_000001,Mandla,Madhya Pradesh,चण्ड,बुरुाह,लक्ष्मण,Male,20,Bhil,5,29860,Secondary,Daily_Labor,9851-5633-1404,+91-9219930371,BANK_949639488835,SBIN0059146,2024-10-05,2025-01-13
FRA_00000091,VIL_000006,अहमदनगर,GP_000002,BLK_000001,Mandla,Madhya Pradesh,िकशोरी,बोस,राजीव,Female,49,Gond,4,40232,Middle,Agriculture,2572-3742-9814,+91-9290101581,BANK_787226251992,SBIN0018581,2022-07-05,2025-03-27
FRA_00000092,VIL_000006,अहमदनगर,GP_000002,BLK_000001,Mandla,Madhya Pradesh,सुमन्त्र,सैनी,उत्तम,Male,60,Baiga,8,70601,Illiterate,Forest_Produce,9810-8130-2181,+91-9946534590,BANK_126430174684,SBIN0070191,2024-11-28,2025-06-28
FRA_00000093,VIL_000006,अहमदनगर,GP_000002,BLK_000001,Mandla,Madhya Pradesh,वसन्ता,बलासुब्रमानियम,िनशा,Female,20,Gond,2,22113,Primary,Daily_Labor,2154-4729-5237,+91-8750769451,BANK_595587826397,SBIN0092603,2024-12-13,2024-12-18
FRA_00000094,VIL_000006,अहमदनगर,GP_000002,BLK_000001,Mandla,Madhya Pradesh,भरत,जैन,जयदेव,Female,45,Bhil,2,66052,Illiterate,Agriculture,2036-1745-2189,+91-8536310375,BANK_653741748619,SBIN0023911,2023-11-03,2025-03-05
FRA_00000095,VIL_000006,अहमदनगर,GP_000002,BLK_000001,Mandla,Madhya Pradesh,शीला,चक्रवर्ती,पद्म,Female,68,Bhil,6,26338,Middle,Animal_Husbandry,7249-7473-1504,+91-9035761595,BANK_684786956460,SBIN0038818,2024-03-10,2025-02-04
FRA_00000096,VIL_000006,अहमदनगर,GP_000002,BLK_000001,Mandla,Madhya Pradesh,संजय,पाण्डेय,राजीव,Male,65,Kol,8,53663,Primary,Daily_Labor,7113-1182-3316,+91-7529290976,BANK_104474381572,SBIN0085067,2025-02-09,2025-05-26
